Entry,"Pair (event_id, vertex_id)",interactions,stack,segments,trajectories
347,"(99, 1000000005000017)",1,9,61,48
348,"(99, 5000016)",1,10,35,7935
349,"(99, 1000000005000024)",1,6,36,38
350,"(100, 1000000005000035)",1,12,106,92
351,"(100, 1000000005000047)",1,11,5,26
352,"(101, 1000000005000050)",1,8,19,39
353,"(101, 5000025)",1,8,1070,1172
354,"(101, 5000026)",1,14,449,6002
355,"(102, 1000000005000095)",1,5,21,109
356,"(102, 1000000005000097)",1,14,5,228
357,"(102, 1000000005000098)",1,9,241,627
358,"(102, 1000000005000101)",1,7,3,135
359,"(102, 1000000005000109)",1,6,82,132
360,"(103, 1000000005000126)",1,10,12,81
361,"(103, 5000035)",1,6,226,663
362,"(104, 5000038)",1,7,9,11551
363,"(104, 1000000005000138)",1,9,88,143
364,"(104, 1000000005000154)",1,5,692,789
365,"(104, 1000000005000163)",1,5,68,66
366,"(105, 5000042)",1,10,50,1367
367,"(105, 1000000005000176)",1,6,46,77
368,"(105, 1000000005000180)",1,9,1,1599
369,"(105, 1000000005000183)",1,5,31,99
370,"(105, 1000000005000188)",1,5,15,95
371,"(106, 5000048)",1,5,276,268
372,"(106, 1000000005000204)",1,16,42,544
373,"(106, 1000000005000206)",1,8,121,289
374,"(107, 5000055)",1,12,54,1720
375,"(108, 1000000005000237)",1,5,9,14
376,"(108, 5000059)",1,7,21,18
377,"(108, 5000060)",1,6,133,5651
378,"(109, 5000062)",1,9,35,581
379,"(109, 1000000005000281)",1,7,111,410
380,"(110, 5000066)",1,15,1,910
381,"(110, 1000000005000292)",1,11,225,449
382,"(111, 1000000005000307)",1,18,1,64
383,"(111, 5000067)",1,9,15,2463
384,"(112, 5000069)",1,8,116,186
385,"(112, 1000000005000341)",1,9,148,2066
386,"(112, 1000000005000345)",1,5,88,97
387,"(113, 1000000005000350)",1,9,108,160
388,"(113, 5000071)",1,7,1727,1435
389,"(113, 1000000005000364)",1,7,6,277
390,"(113, 1000000005000365)",1,5,2,96
391,"(113, 1000000005000366)",1,21,136,210
392,"(114, 1000000005000392)",1,8,524,1769
393,"(114, 1000000005000393)",1,7,6,608
394,"(114, 5000076)",1,10,272,399
395,"(115, 5000078)",1,5,119,1267
396,"(115, 1000000005000406)",1,9,7,362
397,"(115, 1000000005000414)",1,25,10,439
398,"(115, 1000000005000417)",1,5,5,58
399,"(115, 5000079)",1,6,75,444
400,"(115, 1000000005000420)",1,9,88,109
401,"(116, 1000000005000443)",1,10,1,164
402,"(116, 1000000005000444)",1,6,8,2064
403,"(116, 1000000005000456)",1,6,113,968
404,"(117, 1000000005000461)",1,8,120,142
405,"(117, 5000086)",1,10,419,366
406,"(117, 1000000005000464)",1,11,5,81
407,"(117, 1000000005000466)",1,5,124,312
408,"(117, 1000000005000469)",1,7,2,22541
409,"(117, 5000087)",1,4,26,659
410,"(118, 6000004)",1,15,8,15417
411,"(118, 1000000005000492)",1,8,171,349
412,"(118, 1000000005000500)",1,5,1,305
413,"(119, 1000000005000514)",1,24,11,100
414,"(119, 6000009)",1,8,127,4172
415,"(119, 6000010)",1,6,31,1428
416,"(120, 6000013)",1,8,193,1505
417,"(120, 6000015)",1,13,18,3642
418,"(121, 6000016)",1,7,391,754
419,"(121, 6000018)",1,5,1,884
420,"(121, 1000000006000037)",1,11,111,362
421,"(121, 1000000006000042)",1,7,4,381
422,"(122, 1000000006000064)",1,16,94,1721
423,"(122, 1000000006000067)",1,8,12,900
424,"(122, 1000000006000069)",1,10,2,52
425,"(122, 1000000006000072)",1,13,185,224
426,"(122, 1000000006000075)",1,8,11,42
427,"(123, 1000000006000082)",1,13,26,4320
428,"(123, 1000000006000098)",1,7,7,708
429,"(123, 1000000006000112)",1,11,9,261
430,"(123, 1000000006000116)",1,5,59,429
431,"(124, 6000029)",1,5,103,4236
432,"(124, 6000030)",1,6,1166,1182
433,"(124, 6000031)",1,5,36,466
434,"(124, 6000032)",1,9,307,2213
435,"(124, 6000033)",1,9,2,2112
436,"(124, 1000000006000129)",1,8,86,111
437,"(124, 1000000006000131)",1,7,6,62
438,"(124, 1000000006000137)",1,10,161,147
439,"(124, 1000000006000140)",1,9,38,2771
440,"(125, 6000035)",1,9,134,3649
441,"(125, 1000000006000161)",1,4,180,426
442,"(125, 1000000006000162)",1,6,5,836
443,"(126, 1000000006000178)",1,10,8,17
444,"(126, 6000042)",1,48,5,3923
445,"(126, 6000043)",1,7,3851,3468
446,"(127, 1000000006000205)",1,5,176,339
447,"(127, 6000046)",1,8,25,197
448,"(127, 6000048)",1,61,45,1471
449,"(128, 1000000006000230)",1,5,18,131
450,"(128, 6000050)",1,5,3,220
451,"(128, 1000000006000245)",1,5,72,85
452,"(129, 1000000006000254)",1,14,175,392
453,"(129, 1000000006000257)",1,6,362,505
454,"(129, 1000000006000258)",1,8,10,115
455,"(129, 6000055)",1,17,16,371
456,"(129, 6000056)",1,5,79,191
457,"(129, 6000057)",1,7,476,2591
458,"(130, 1000000006000287)",1,7,4,386
459,"(130, 1000000006000291)",1,8,209,138
460,"(130, 6000060)",1,9,8,1520
461,"(130, 1000000006000304)",1,10,21,342
462,"(131, 1000000006000334)",1,11,1,11
463,"(132, 1000000006000344)",1,26,1,69
464,"(133, 6000070)",1,10,1278,1410
465,"(133, 1000000006000378)",1,4,2,98
466,"(133, 6000071)",1,5,165,362
467,"(134, 6000072)",1,5,52,544
468,"(134, 1000000006000396)",1,7,1,161
469,"(134, 1000000006000399)",1,4,136,206
470,"(134, 6000074)",1,7,78,995
471,"(135, 6000075)",1,10,100,685
472,"(135, 1000000006000417)",1,20,34,151
473,"(135, 1000000006000418)",1,12,10,90
474,"(135, 1000000006000422)",1,12,80,7782
475,"(136, 1000000006000426)",1,10,27,80
476,"(136, 1000000006000428)",1,10,165,227
477,"(136, 6000080)",1,7,274,552
478,"(136, 1000000006000435)",1,14,41,194
479,"(136, 1000000006000439)",1,9,94,139
480,"(136, 1000000006000445)",1,9,5,482
481,"(137, 1000000006000449)",1,15,99,128
482,"(137, 7000002)",1,7,6,2060
483,"(137, 1000000006000464)",1,17,194,310
484,"(137, 7000004)",1,5,12,202
485,"(138, 7000005)",1,7,6,1575
486,"(138, 1000000006000472)",1,12,87,1798
487,"(139, 7000012)",1,27,213,584
488,"(139, 1000000006000493)",1,16,59,59
489,"(139, 1000000006000511)",1,8,217,261
490,"(140, 1000000007000009)",1,11,5,65
491,"(141, 7000019)",1,14,60,208
492,"(141, 1000000007000045)",1,7,10,65
493,"(142, 1000000007000054)",1,5,108,62
494,"(142, 1000000007000064)",1,10,7,342
495,"(143, 1000000007000083)",1,12,1,4515
496,"(143, 7000028)",1,10,2,2428
497,"(143, 1000000007000088)",1,11,4,222
498,"(144, 1000000007000105)",1,5,27,30
499,"(144, 1000000007000108)",1,11,10,474
500,"(144, 7000030)",1,6,79,316
501,"(144, 7000031)",1,43,11,3117
502,"(145, 7000034)",1,9,274,1084
503,"(145, 1000000007000132)",1,9,86,93
504,"(145, 1000000007000137)",1,5,109,972
505,"(145, 1000000007000139)",1,7,6,521
506,"(146, 1000000007000146)",1,8,59,69
507,"(146, 7000036)",1,7,563,462
508,"(146, 1000000007000151)",1,9,355,467
509,"(146, 1000000007000152)",1,5,5,178
510,"(146, 1000000007000161)",1,6,9,45
511,"(147, 7000040)",1,5,408,351
512,"(147, 7000042)",1,6,26,381
513,"(147, 1000000007000176)",1,7,91,146
514,"(147, 1000000007000177)",1,15,16,560
515,"(148, 1000000007000184)",1,5,157,111
516,"(148, 1000000007000197)",1,10,142,107
517,"(148, 1000000007000198)",1,5,405,594
518,"(148, 1000000007000204)",1,5,233,236
519,"(149, 7000054)",1,13,923,6417
520,"(149, 1000000007000221)",1,11,97,224
521,"(149, 1000000007000222)",1,5,2,1822
522,"(150, 7000055)",1,9,35,10342
523,"(150, 1000000007000260)",1,7,1,49
524,"(151, 1000000007000266)",1,4,260,405
525,"(151, 7000058)",1,10,29,189
526,"(151, 7000059)",1,6,330,380
527,"(151, 1000000007000276)",1,14,8,46
528,"(151, 1000000007000281)",1,12,4,189
529,"(152, 7000066)",1,7,49,748
530,"(152, 7000067)",1,12,5,38
531,"(152, 1000000007000311)",1,5,18,30
532,"(152, 1000000007000313)",1,13,17,116
533,"(153, 1000000007000325)",1,8,1,47
534,"(153, 1000000007000327)",1,8,811,668
535,"(153, 7000072)",1,14,1,404
536,"(153, 1000000007000332)",1,8,3,18
537,"(154, 1000000007000353)",1,11,559,2483
538,"(154, 1000000007000360)",1,6,179,151
539,"(155, 1000000007000371)",1,5,11,354
540,"(155, 1000000007000379)",1,9,66,107
541,"(155, 1000000007000380)",1,15,8,38
542,"(155, 1000000007000386)",1,9,26,109
543,"(155, 8000002)",1,32,871,943
544,"(156, 8000003)",1,6,17,190
545,"(156, 1000000007000400)",1,8,43,165
546,"(156, 1000000007000405)",1,5,160,251
547,"(156, 1000000007000406)",1,12,16,34
548,"(156, 8000004)",1,10,58,961
549,"(157, 1000000007000438)",1,9,803,609
550,"(157, 1000000007000442)",1,9,8,1852
551,"(158, 1000000007000455)",1,7,20,68
552,"(159, 8000018)",1,24,70,11342
553,"(159, 1000000007000477)",1,7,15,47
554,"(159, 8000021)",1,6,36,89
555,"(160, 1000000007000486)",1,14,75,62
556,"(160, 8000023)",1,8,14,3741
557,"(160, 1000000007000492)",1,7,5,113
558,"(160, 8000026)",1,8,132,2172
559,"(161, 1000000008000001)",1,5,180,179
560,"(162, 8000028)",1,6,635,1362
561,"(162, 1000000008000023)",1,6,125,420
562,"(162, 1000000008000026)",1,11,204,404
563,"(162, 1000000008000027)",1,6,6,270
564,"(162, 1000000008000029)",1,10,3,166
565,"(162, 1000000008000030)",1,11,2,434
566,"(162, 8000031)",1,10,5,6777
567,"(162, 1000000008000040)",1,7,7,382
568,"(163, 1000000008000044)",1,7,343,352
569,"(164, 1000000008000079)",1,7,68,305
570,"(164, 1000000008000100)",1,8,215,383
571,"(165, 1000000008000114)",1,6,155,177
572,"(165, 1000000008000122)",1,13,4,55
573,"(165, 1000000008000126)",1,6,54,361
574,"(165, 1000000008000129)",1,6,81,501
575,"(165, 1000000008000131)",1,8,25,15
576,"(166, 1000000008000139)",1,4,12,966
577,"(166, 8000043)",1,7,58,1367
578,"(166, 1000000008000144)",1,6,8,49
579,"(166, 1000000008000159)",1,5,282,453
580,"(166, 1000000008000160)",1,7,164,220
581,"(166, 8000048)",1,7,66,174
582,"(167, 1000000008000183)",1,5,1,4
583,"(168, 8000053)",1,5,17,162
584,"(168, 1000000008000199)",1,11,1,219
585,"(168, 8000054)",1,6,1605,1195
586,"(168, 1000000008000210)",1,5,119,218
587,"(168, 1000000008000212)",1,4,131,203
588,"(169, 1000000008000222)",1,5,493,481
589,"(169, 1000000008000227)",1,5,1,191
590,"(170, 1000000008000249)",1,5,50,390
591,"(170, 8000056)",1,9,834,7603
592,"(170, 8000057)",1,9,862,1070
593,"(173, 1000000008000311)",1,10,1,1070
594,"(173, 1000000008000323)",1,13,10,174
595,"(174, 1000000008000344)",1,6,35,282
596,"(174, 8000068)",1,7,7,2231
597,"(174, 1000000008000358)",1,18,254,315
598,"(175, 8000075)",1,4,9,228
599,"(175, 1000000008000371)",1,6,103,279
600,"(175, 8000076)",1,5,2,7
601,"(175, 8000078)",1,7,31,31
602,"(176, 8000083)",1,15,162,1297
603,"(177, 8000085)",1,6,751,718
604,"(177, 8000088)",1,8,241,461
605,"(177, 8000090)",1,8,6206,4661
606,"(178, 9000004)",1,6,452,1213
607,"(179, 1000000008000473)",1,5,8,12
608,"(179, 1000000008000487)",1,5,12,30
609,"(179, 1000000008000490)",1,6,1,102
610,"(180, 1000000008000510)",1,6,30,401
611,"(181, 1000000008000524)",1,7,52,330
612,"(181, 1000000009000000)",1,8,87,251
613,"(181, 1000000009000004)",1,8,5,230
614,"(181, 1000000009000011)",1,16,29,116
615,"(182, 1000000009000018)",1,5,132,192
616,"(182, 1000000009000019)",1,6,19,310
617,"(182, 1000000009000027)",1,5,8,169
618,"(182, 9000016)",1,14,1377,4732
619,"(182, 1000000009000037)",1,9,19,139
620,"(183, 9000018)",1,38,73,26532
621,"(183, 1000000009000053)",1,24,9,368
622,"(183, 1000000009000065)",1,8,2,142
623,"(184, 9000022)",1,6,4128,2969
624,"(184, 1000000009000091)",1,4,16,519
625,"(185, 1000000009000103)",1,6,42,152
626,"(185, 1000000009000110)",1,27,203,306
627,"(185, 1000000009000111)",1,6,39,63
628,"(185, 9000027)",1,6,27,1021
629,"(185, 9000028)",1,45,324,551
630,"(185, 1000000009000119)",1,9,7,15
631,"(186, 9000029)",1,6,196,212
632,"(186, 1000000009000129)",1,7,1,314
633,"(186, 1000000009000143)",1,8,15,266
634,"(186, 1000000009000144)",1,5,1,7
635,"(186, 9000031)",1,12,9,13164
636,"(187, 1000000009000160)",1,6,2,58
637,"(187, 1000000009000162)",1,11,39,38
638,"(188, 1000000009000180)",1,6,3,297
639,"(188, 1000000009000185)",1,12,76,75
640,"(188, 1000000009000192)",1,13,24,63
641,"(189, 1000000009000209)",1,10,55,653
642,"(189, 9000037)",1,7,482,386
643,"(190, 1000000009000225)",1,8,389,467
644,"(190, 9000040)",1,6,114,1061
645,"(190, 9000043)",1,8,316,707
646,"(191, 9000045)",1,13,322,1458
647,"(191, 1000000009000241)",1,7,9,37
648,"(191, 1000000009000252)",1,13,1,26
649,"(191, 1000000009000257)",1,6,35,1077
650,"(192, 1000000009000271)",1,6,21,28
651,"(192, 9000051)",1,18,7,2290
652,"(192, 1000000009000286)",1,7,13,243
653,"(193, 1000000009000306)",1,11,66,63
654,"(193, 1000000009000308)",1,8,160,323
655,"(194, 9000056)",1,21,11,3047
656,"(194, 1000000009000330)",1,9,83,467
657,"(194, 1000000009000332)",1,7,347,370
658,"(194, 1000000009000336)",1,14,133,312
659,"(195, 9000059)",1,26,5,13796
660,"(195, 1000000009000352)",1,9,96,821
661,"(195, 1000000009000361)",1,7,136,208
662,"(195, 1000000009000364)",1,5,26,92
663,"(195, 9000060)",1,11,38,8009
664,"(196, 1000000009000368)",1,12,1,914
665,"(196, 9000061)",1,6,68,38
666,"(196, 1000000009000378)",1,9,15,49
667,"(196, 9000067)",1,5,9,2341
668,"(196, 9000068)",1,7,2,86
669,"(196, 1000000009000389)",1,7,287,220
670,"(197, 1000000009000395)",1,6,3,58
671,"(197, 9000073)",1,5,6,578
672,"(197, 1000000009000411)",1,10,3,214
673,"(197, 9000075)",1,16,61,3182
674,"(198, 1000000009000422)",1,5,466,408
675,"(198, 9000077)",1,8,3104,2759
676,"(198, 9000081)",1,24,7,1704
